,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
0,1,30532593,安安,80016241,中金公司,"920007,920927","中金恒瑞债券A,中金恒瑞债券C",160,19.63,1.87
1,2,30634044,艾定飞,80053204,华商基金,"007685,007853,630015","华商电子行业量化股票,华商计算机行业量化股票,华商大盘量化精选混合",1261,7.01,34.51
2,3,30277862,艾小军,80000224,国泰基金,"000218,004253,007817,007818,010210,012362,012363,014994,020021,020022,160224,501016,501019,510230,512660,512720,512760,512880,515880,518800","国泰黄金ETF联接A,国泰黄金ETF联接C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接C,国泰上证180金融ETF联接C,国泰上证180金融ETF联接A,国泰策略价值灵活配置混合,国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数,国泰国证航天军工指数,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰中证全指通信设备ETF,国泰黄金ETF",3039,663.36,92.52
3,4,30648059,彬彬,80061431,人保资产,"006419,006420","人保优势产业混合A,人保优势产业混合C",1211,0.24,10.05
4,5,30659779,包兵华,80000230,鹏华基金,"006230,007146,009188,010264,010265","鹏华研究驱动混合,鹏华研究智选混合,鹏华股息精选混合,鹏华成长智选混合A,鹏华成长智选混合C",1116,47.49,86.54
5,6,30283513,白冰洋,80000200,中银证券,"002601,002938,004913,004914,011269,011270","中银证券价值精选混合,中银证券健康产业混合,中银证券聚瑞混合A,中银证券聚瑞混合C,中银证券优势制造股票A,中银证券优势制造股票C",2030,6.71,34.74
6,7,30158947,薄官辉,80000235,银华基金,"000823,001163,006251,011817,012502,014346,161818,180001","银华高端制造业混合,银华中国梦30股票,银华兴盛股票,银华阿尔法混合,银华安盛混合,银华消费主题混合C,银华消费主题混合A,银华优势企业混合",2568,47.76,95.68
7,8,30727776,边慧,80000235,银华基金,"006612,008111,008833,008834,010638,012092","银华信用精选一年定开债,银华信用精选18个月定开债,银华汇盈一年持有期混合A,银华汇盈一年持有期混合C,银华信用精选15个月定开债,银华信用精选两年定开债",410,80.14,1.41
8,9,30324911,白海峰,80036782,招商基金,"004266,005761,005762,007729,007975,008183,010754,011651,011652,515160","招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商普盛全球配置(QDII-FOF)人民币,招商普盛全球配置(QDII-FOF)美元现汇,招商普盛全球配置(QDII-FOF)美元现钞,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",2188,18.24,50.25
9,10,30069893,白洁,80048752,中银基金,"003213,003313,003770,004899,006677,006678,008936,010083,010933,012134,012191,012192,013838,013839,163827","中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银产业债债券C,中银欣享利率债,中银稳汇短债债券E,中银嘉享3个月定开债,中银恒泰9个月持有期债券A,中银恒泰9个月持有期债券C,中银恒嘉60天滚动持有短债A,中银恒嘉60天滚动持有短债C,中银产业债债券A",4072,579.63,45.46
10,11,30742329,白鹏,80075936,中邮基金,"001983,015004,015005,590002","中邮低碳配置混合,中邮能源革新混合型发起A,中邮能源革新混合型发起C,中邮核心成长混合",260,43.29,-15.72
11,12,30037457,毕天宇,80000221,富国基金,"000513,008138,011921,011922,014930,519035","富国高端制造行业股票A,富国龙头优势混合,富国均衡成长三年持有期混合A,富国均衡成长三年持有期混合C,富国高端制造行业股票C,富国天博创新主题混合",6009,47.43,251.28
12,13,30760448,鲍武斌,80000237,银河基金,"519646,519652,519653,519670","银河鑫利混合I,银河鑫利混合A,银河鑫利混合C,银河行业混合",53,16.43,-0.57
13,14,30289521,鲍无可,80000251,景顺长城基金,"000979,008060,008715,008850,009098,260112","景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合,景顺长城价值驱动一年持有混合,景顺长城价值稳进定开混合,景顺长城价值领航混合,景顺长城能源基建混合",2874,83.43,242.72
14,15,30081584,包斅文,80404701,财通资管,009447,财通科技创新一年定开混合,168,13.37,-36.05
15,16,30196299,贲兴振,80000235,银华基金,"005519,006302,011405,180010","银华混改红利灵活配置混合发起式,银华行业轮动混合,银华稳健增长一年持有期混合,银华优质增长混合",3300,43.43,106.39
16,17,30680080,白玉,80156777,浙商基金,"002967,010148,010149,014813","浙商大数据智选消费混合A,浙商智选经济动能混合A,浙商智选经济动能混合C,浙商大数据智选消费混合C",300,11.07,-14.47
17,18,30728148,柏杨,80000225,大成基金,"011583,011584","大成港股精选混合(QDII)A,大成港股精选混合(QDII)C",369,3.06,-29.4
18,19,30743186,薄玉,80000250,华宝基金,007308,华宝消费升级混合,252,0.37,-18.62
19,20,30064183,卞亚军,80560408,同泰基金,"008842,008843,008997,008998,011002,011003,012496,012497,012696,012697,013657,013658","同泰远见混合A,同泰远见混合C,同泰竞争优势混合A,同泰竞争优势混合C,同泰大健康主题混合A,同泰大健康主题混合C,同泰行业优选股票A,同泰行业优选股票C,同泰数字经济股票A,同泰数字经济股票C,同泰同欣混合A,同泰同欣混合C",1964,5.19,-5.56
20,21,30758932,卞正,80053708,汇添富基金,001541,汇添富民营新动力股票,78,2.3,-20.08
21,22,30674126,毕子男,80975669,华融基金,"001797,012673,012674","华融新利灵活配置混合,华融融兴6个月定开混合A,华融融兴6个月定开混合C",433,2.05,0.43
22,23,30667560,毕仲圆,80000229,易方达基金,005583,易方达港股通红利混合,661,6.88,-37.69
